antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'wingspan_WINGSPAN_LOW'}),frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.3469217970049917,0.34359400998336104,0.2562396006655574,0.7386091127098321,2.149656545949681,1.0,0.13703934928197872,2.5112045673113617,0.8189056166763173,0.5900383141762451,0.6017847319102891,0.7421859122871195
"frozenset({'bench_press_BENCH_PRESS_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'}),0.14891846921797006,0.3668885191347754,0.11730449251247921,0.7877094972067039,2.1469995819556873,1.0,0.06266801586928054,2.9822882914440845,0.627711570058859,0.2943632567849687,0.6646870113567124,0.5537186941815833
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'wingspan_WINGSPAN_HIGH'})",frozenset({'weight_WEIGHT_HIGH'}),0.2687188019966722,0.34608985024958405,0.19966722129783693,0.7430340557275542,2.1469397475589425,1.0,0.10666637135556102,2.5447346791492094,0.7305271141448615,0.4809619238476953,0.6070317238988806,0.6599785663253155
"frozenset({'wingspan_WINGSPAN_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'}),0.18302828618968386,0.37271214642262895,0.1464226289517471,0.8,2.1464285714285714,1.0,0.0782057635499348,3.136439267886856,0.6537678207739308,0.3577235772357724,0.6811671087533158,0.5964285714285715
"frozenset({'bench_press_BENCH_PRESS_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'}),0.1281198003327787,0.37271214642262895,0.10232945091514144,0.7987012987012988,2.142944109461967,1.0,0.05457764513387284,3.116204175835974,0.6117265561968597,0.25678496868476,0.679096765303662,0.5366274350649352
"frozenset({'weight_WEIGHT_HIGH', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.18136439267886856,0.37104825291181365,0.14392678868552414,0.7935779816513762,2.1387460402353233,1.0,0.07663184764161783,3.046921797004992,0.6503947553926407,0.3523421588594705,0.6717999126256007,0.5907351791664952
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'weight_WEIGHT_LOW'}),0.1713810316139767,0.3319467554076539,0.12146422628951747,0.70873786407767,2.1350950191011515,1.0,0.06457484890684136,2.2936494731003894,0.6415937723496727,0.31808278867102396,0.5640135898148934,0.5373263255225443
"frozenset({'weight_WEIGHT_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH'}),0.19217970049916805,0.34193011647254573,0.13976705490848584,0.7272727272727272,2.1269630612696306,1.0,0.07405502753314636,2.412922906267332,0.6558959835221421,0.35443037974683544,0.5855648776002756,0.5680159256801592
"frozenset({'weight_WEIGHT_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH'}),0.17637271214642264,0.34193011647254573,0.1281198003327787,0.7264150943396226,2.124454850112473,1.0,0.06781265832597363,2.4053588846175913,0.6426341335432246,0.3283582089552239,0.5842616224983898,0.5505554790432906
"frozenset({'weight_WEIGHT_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.15391014975041598,0.34359400998336104,0.11231281198003328,0.7297297297297297,2.123813886525751,1.0,0.05943020645014826,2.428702163061564,0.6254051494956117,0.2915766738660907,0.5882574589798923,0.5283031215234605
"frozenset({'weight_WEIGHT_HIGH', 'lane_agility_time_LANE_AGILITY_TIME_HIGH'})",frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'}),0.18885191347753744,0.348585690515807,0.13976705490848584,0.7400881057268722,2.1231167138035807,1.0,0.07393598024368701,2.506288953439183,0.6521550671550671,0.3514644351464435,0.6010037076420184,0.5705213798324098
frozenset({'wingspan_WINGSPAN_LOW'}),frozenset({'weight_WEIGHT_LOW'}),0.3469217970049917,0.3319467554076539,0.2437603993344426,0.7026378896882494,2.1167186551510673,1.0,0.12860083443844286,2.246598411250067,0.807821569096324,0.5602294455066921,0.5548826194337182,0.7184868646436234
frozenset({'weight_WEIGHT_LOW'}),frozenset({'wingspan_WINGSPAN_LOW'}),0.3319467554076539,0.3469217970049917,0.2437603993344426,0.7343358395989975,2.116718655151067,1.0,0.12860083443844286,2.4582849339151727,0.7897134890916739,0.5602294455066921,0.5932123301885287,0.7184868646436234
"frozenset({'wingspan_WINGSPAN_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'weight_WEIGHT_LOW'}),0.17221297836938437,0.3319467554076539,0.12063227953410982,0.7004830917874396,2.1102272589686777,1.0,0.0634667401253042,2.2304358327518656,0.6355709582394734,0.31453362255965295,0.5516571311687452,0.5319458065453488
"frozenset({'wingspan_WINGSPAN_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.18302828618968386,0.3577371048252912,0.13810316139767054,0.7545454545454545,2.1092177589852006,1.0,0.07262715219503821,2.6166266099710356,0.6437072117390131,0.3429752066115702,0.6178285445124823,0.5702959830866807
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'lane_agility_time_LANE_AGILITY_TIME_HIGH'}),0.17803660565723795,0.34193011647254573,0.1281198003327787,0.719626168224299,2.104600131887123,1.0,0.06724372302402264,2.3471159179145866,0.6385325201114675,0.32696390658174096,0.5739452012713115,0.5471610159856288
frozenset({'weight_WEIGHT_LOW'}),frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.3319467554076539,0.34359400998336104,0.23960066555740434,0.7218045112781956,2.1007482386353296,1.0,0.12554574876592262,2.3595134235733246,0.7843373806558739,0.5496183206106872,0.5761838055214081,0.7095705365107685
"frozenset({'weight_WEIGHT_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.17637271214642264,0.3577371048252912,0.13227953410981697,0.7499999999999999,2.096511627906976,1.0,0.06918447069637126,2.569051580698834,0.635016835016835,0.32919254658385094,0.6107512953367874,0.5598837209302325
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.21630615640599002,0.37104825291181365,0.16805324459234608,0.7769230769230768,2.093859951707485,1.0,0.08779322316383398,2.8194388662573857,0.6666036030354628,0.4007936507936507,0.6453194953194952,0.6149189375646774
"frozenset({'weight_WEIGHT_HIGH', 'lane_agility_time_LANE_AGILITY_TIME_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.18885191347753744,0.3577371048252912,0.14143094841930118,0.748898678414097,2.093433049892429,1.0,0.07387161165113054,2.5577838106080515,0.643921568627451,0.349075975359343,0.609036543333866,0.5721237578116997
"frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.17803660565723795,0.37104825291181365,0.13810316139767054,0.7757009345794391,2.0905661958844974,1.0,0.07204298991420288,2.8040765391014957,0.6346519681966732,0.3360323886639676,0.6433763536567273,0.5739491219982398
"frozenset({'weight_WEIGHT_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.19217970049916805,0.37104825291181365,0.14891846921797006,0.774891774891775,2.088385456098461,1.0,0.07761052710263815,2.7939971841802134,0.6451449579711063,0.3594377510040161,0.6420898325660231,0.5881185331857978
"frozenset({'wingspan_WINGSPAN_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.1589018302828619,0.34359400998336104,0.11397670549084858,0.7172774869109948,2.087572734302702,1.0,0.05937898843026459,2.321732298021816,0.6193982975589681,0.29336188436830835,0.5692871220114267,0.5244983076201464
"frozenset({'wingspan_WINGSPAN_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.17054908485856904,0.3577371048252912,0.1264559068219634,0.7414634146341463,2.0726488939307997,1.0,0.065444170974056,2.4842244058644396,0.6239376022805259,0.3146997929606625,0.5974598761531656,0.5474758933635848
"frozenset({'bench_press_BENCH_PRESS_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'}),0.23544093178036607,0.36189683860232946,0.17637271214642264,0.7491166077738516,2.069972787457861,1.0,0.09116738325752144,2.5434252771202925,0.6760783870901513,0.4189723320158103,0.6068294166156057,0.618236464806466
"frozenset({'wingspan_WINGSPAN_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.17221297836938437,0.34359400998336104,0.12229617304492513,0.7101449275362318,2.0668140506018178,1.0,0.06312482523581053,2.264600665557404,0.6235463029432879,0.3107822410147992,0.5584210429639425,0.5330385654630312
"frozenset({'weight_WEIGHT_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_LOW'}),0.1713810316139767,0.34359400998336104,0.12146422628951747,0.70873786407767,2.0627189167587394,1.0,0.06257873040218606,2.253660565723795,0.6217610166694175,0.3086680761099366,0.5562774557938648,0.5311243799807237
"frozenset({'wingspan_WINGSPAN_HIGH', 'lane_agility_time_LANE_AGILITY_TIME_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.2021630615640599,0.3577371048252912,0.14891846921797006,0.7366255144032923,2.0591252751459472,1.0,0.07659724087142616,2.4385919301164733,0.644689242169159,0.36234817813765186,0.5899272905605665,0.5764522920853671
"frozenset({'weight_WEIGHT_LOW', 'bench_press_BENCH_PRESS_LOW'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.26206322795341097,0.3469217970049917,0.18718801996672213,0.7142857142857143,2.0589242891401165,1.0,0.09627257399619601,2.285773710482529,0.6969560315670799,0.4437869822485207,0.5625113739763421,0.6269270298047276
"frozenset({'weight_WEIGHT_HIGH', 'max_vertical_leap_MAX_VERTICAL_LEAP_LOW'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.19217970049916805,0.3577371048252912,0.14143094841930118,0.735930735930736,2.057183126950569,1.0,0.07268113875653723,2.4321758817271766,0.6361543587568911,0.3462321792260693,0.5888455240786847,0.5656397865700191
"frozenset({'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH', 'height_w_shoes_HEIGHT_W_SHOES_LOW'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.1713810316139767,0.3469217970049917,0.12229617304492513,0.7135922330097088,2.056925333519592,1.0,0.06284035758483504,2.280239149440199,0.6201131054831571,0.3088235294117647,0.5614495083791974,0.5330551093106097
"frozenset({'weight_WEIGHT_LOW', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_HIGH'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.15391014975041598,0.3469217970049917,0.10981697171381032,0.7135135135135136,2.0566984250437486,1.0,0.05642218598508863,2.279612595359935,0.6072450165370518,0.28085106382978725,0.5613289722843864,0.5150301380517208
"frozenset({'wingspan_WINGSPAN_HIGH', 'bench_press_BENCH_PRESS_HIGH'})",frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.13727121464226288,0.3577371048252912,0.10066555740432612,0.7333333333333334,2.0499224806201553,1.0,0.05155855050235187,2.4084858569051586,0.5936705531691067,0.2552742616033755,0.5848013816925735,0.5073643410852713
"frozenset({'weight_WEIGHT_LOW', 'max_vertical_leap_MAX_VERTICAL_LEAP_HIGH'})",frozenset({'wingspan_WINGSPAN_LOW'}),0.1713810316139767,0.3469217970049917,0.12063227953410982,0.7038834951456312,2.028939954832251,1.0,0.061176464074019735,2.2054772101142914,0.6120204957762083,0.3033472803347281,0.5465833900191703,0.5258026588437988
frozenset({'wingspan_WINGSPAN_HIGH'}),frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),0.37104825291181365,0.3577371048252912,0.2687188019966722,0.7242152466367713,2.0244342475753467,1.0,0.13598107424951755,2.3288557012026025,0.8045686110701589,0.5840867992766726,0.5706045679499988,0.7376890186672228
frozenset({'height_w_shoes_HEIGHT_W_SHOES_HIGH'}),frozenset({'wingspan_WINGSPAN_HIGH'}),0.3577371048252912,0.37104825291181365,0.2687188019966722,0.7511627906976743,2.0244342475753463,1.0,0.13598107424951755,2.5275630957749535,0.7878936139495339,0.5840867992766726,0.6043620031992124,0.7376890186672228
"frozenset({'weight_WEIGHT_HIGH', 'standing_vertical_leap_STANDING_VERTICAL_LEAP_LOW'})",frozenset({'wingspan_WINGSPAN_HIGH'}),0.17637271214642264,0.37104825291181365,0.13227953410981697,0.7499999999999999,2.021300448430493,1.0,0.06683674740656863,2.515806988352744,0.6134680134680134,0.3186372745490982,0.6025132275132273,0.5532511210762331
